Algorithm;Vertices;Edges;Total Cost;Comparisons;Unions;OtherOps;Execution Time (ms)
Prim;5;16;35;4;0;13;"6,488 ms"
Kruskal;5;16;35;16;4;12;"0,830 ms"
Prim;10;24;215;11;0;23;"0,089 ms"
Kruskal;10;24;215;24;9;15;"0,101 ms"
Prim;20;84;298;32;0;89;"0,377 ms"
Kruskal;20;84;298;84;19;65;"0,352 ms"
Prim;25;192;191;46;0;204;"0,238 ms"
Kruskal;25;192;191;192;24;168;"0,410 ms"
Prim;30;194;274;40;0;198;"0,208 ms"
Kruskal;30;194;274;194;29;165;"0,336 ms"
Prim;50;288;565;81;0;313;"0,428 ms"
Kruskal;50;288;565;288;49;239;"0,673 ms"
Prim;75;970;364;141;0;1019;"0,918 ms"
Kruskal;75;970;364;970;74;896;"2,347 ms"
Prim;100;286;2025;142;0;327;"0,428 ms"
Kruskal;100;286;2025;286;99;187;"0,823 ms"
Prim;125;1074;1001;472;0;1410;"1,122 ms"
Kruskal;125;1074;1001;1074;124;950;"2,937 ms"
Prim;150;2532;715;462;0;2830;"1,972 ms"
Kruskal;150;2532;715;2532;149;2383;"5,957 ms"
Prim;175;5386;472;538;0;5714;"3,046 ms"
Kruskal;175;5386;472;5386;174;5212;"8,580 ms"
Prim;200;6276;452;517;0;6569;"4,271 ms"
Kruskal;200;6276;452;6276;199;6077;"9,241 ms"
Prim;225;2128;1386;504;0;2399;"1,686 ms"
Kruskal;225;2128;1386;2128;224;1904;"3,309 ms"
Prim;250;11442;478;1040;0;12188;"5,599 ms"
Kruskal;250;11442;478;11442;249;11193;"14,784 ms"
Prim;300;9448;764;1176;0;10302;"4,796 ms"
Kruskal;300;9448;764;9448;299;9149;"14,033 ms"
Prim;350;4150;1853;913;0;4703;"3,165 ms"
Kruskal;350;4150;1853;4150;349;3801;"5,804 ms"
Prim;400;1700;5489;813;0;2112;"1,871 ms"
Kruskal;400;1700;5489;1700;399;1301;"2,627 ms"
Prim;500;20790;1005;1648;0;21904;"12,314 ms"
Kruskal;500;20790;1005;20790;499;20291;"28,583 ms"
Prim;600;6432;3653;2139;0;7960;"3,437 ms"
Kruskal;600;6432;3653;6432;599;5833;"7,310 ms"
Prim;650;17676;1811;2118;0;19121;"11,887 ms"
Kruskal;650;17676;1811;17676;649;17027;"24,882 ms"
Prim;700;51010;942;2502;0;52738;"29,634 ms"
Kruskal;700;51010;942;51010;699;50311;"47,514 ms"
Prim;750;56430;1021;2773;0;58385;"26,238 ms"
Kruskal;750;56430;1021;56430;749;55681;"36,501 ms"
Prim;800;71536;994;3651;0;74294;"25,311 ms"
Kruskal;800;71536;994;71536;799;70737;"47,894 ms"
Prim;900;15114;3717;3117;0;17318;"7,184 ms"
Kruskal;900;15114;3717;15114;899;14215;"11,664 ms"
Prim;1000;5760;10825;2877;0;7630;"3,192 ms"
Kruskal;1000;5760;10825;5760;999;4761;"4,643 ms"
Prim;1200;50566;2396;4700;0;54019;"22,976 ms"
Kruskal;1200;50566;2396;50566;1199;49367;"36,667 ms"
Prim;1600;8266;18808;4115;0;10777;"4,396 ms"
Kruskal;1600;8266;18808;8266;1599;6667;"6,475 ms"
Prim;2000;163688;2597;8314;0;169926;"89,729 ms"
Kruskal;2000;163688;2597;163688;1999;161689;"140,720 ms"
